MODEL, AUGMENTATION_FUNCTION, TRAIN_FUNCTION, EVAL_FUNCTION
0+512+512, identity, one_half_training, second_half_eval
0+1024+512, identity_third, two_thirds_training, last_third_eval
512+0+512-shuffled, shuffle_first_half, augmented_training, augmented_eval
512+512+512-shuffled, shuffle_first_third, two_thirds_training, last_third_eval
1024+0+512-shuffled, shuffle_first_two_thirds, augmented_training, augmented_eval
512+0+512-N-VB, remove_all_but_nouns_and_verbs_first_half, augmented_training, augmented_eval
512+512+512-N-VB, remove_all_but_nouns_and_verbs_first_third, two_thirds_training, last_third_eval
1024+0+512-N-VB, remove_all_but_nouns_and_verbs_first_two_thirds, augmented_training, augmented_eval
512+0+512-SS, shuffle_sentences_first_half, augmented_training, augmented_eval
512+512+512-SS, shuffle_sentences_first_third, two_thirds_training, last_third_eval
1024+0+512-SS, shuffle_sentences_first_two_thirds, augmented_training, augmented_eval
512+0+512-SS-N-VB, shuffle_sentences_remove_all_but_nouns_and_verbs_first_half, augmented_training, augmented_eval
512+512+512-SS-N-VB, shuffle_sentences_remove_all_but_nouns_and_verbs_first_third, two_thirds_training, last_third_eval
1024+0+512-SS-N-VB, shuffle_sentences_remove_all_but_nouns_and_verbs_first_two_thirds, augmented_training, augmented_eval
512+0+512-shuffled-N-VB, shuffle_remove_all_but_nouns_and_verbs_first_half, augmented_training, augmented_eval
512+512+512-shuffled-N-VB, shuffle_remove_all_but_nouns_and_verbs_first_third, two_thirds_training, last_third_eval
1024+0+512-shuffled-N-VB, shuffle_remove_all_but_nouns_and_verbs_first_two_thirds, augmented_training, augmented_eval
512+0+512-N, remove_all_but_nouns_first_half, augmented_training, augmented_eval
512+512+512-N, remove_all_but_nouns_first_third, two_thirds_training, last_third_eval
1024+0+512-N, remove_all_but_nouns_first_two_thirds, augmented_training, augmented_eval
512+0+512-SS-N, shuffle_sentences_remove_all_but_nouns_first_half, augmented_training, augmented_eval
512+512+512-SS-N, shuffle_sentences_remove_all_but_nouns_first_third, two_thirds_training, last_third_eval
1024+0+512-SS-N, shuffle_sentences_remove_all_but_nouns_first_two_thirds, augmented_training, augmented_eval
512+0+512-shuffled-N, shuffle_remove_all_but_nouns_first_half, augmented_training, augmented_eval
512+512+512-shuffled-N, shuffle_remove_all_but_nouns_first_third, two_thirds_training, last_third_eval
1024+0+512-shuffled-N, shuffle_remove_all_but_nouns_first_two_thirds, augmented_training, augmented_eval
512+0+512-N-VB-IP, replace_all_but_nouns_and_verbs_first_half, augmented_training, augmented_eval
512+512+512-N-VB-IP, replace_all_but_nouns_and_verbs_first_third, two_thirds_training, last_third_eval
1024+0+512-N-VB-IP, replace_all_but_nouns_and_verbs_first_two_thirds, augmented_training, augmented_eval
512+0+512-N-IP, replace_all_but_nouns_first_half, augmented_training, augmented_eval
512+512+512-N-IP, replace_all_but_nouns_first_third, two_thirds_training, last_third_eval
1024+0+512-N-IP, replace_all_but_nouns_first_two_thirds, augmented_training, augmented_eval
512+0+512-old, identity_half_old, augmented_training, augmented_eval
512+512+512-old, identity_first_third_old, two_thirds_training, last_third_eval
1024+0+512-old, identity_first_two_thirds_old, augmented_training, augmented_eval
512+0+512-N-VB-ADJ, remove_all_but_nouns_verbs_and_adjectives_first_half, augmented_training, augmented_eval
512+512+512-N-VB-ADJ, remove_all_but_nouns_verbs_and_adjectives_first_third, two_thirds_training, last_third_eval
1024+0+512-N-VB-ADJ, remove_all_but_nouns_verbs_and_adjectives_first_two_thirds, augmented_training, augmented_eval
512+0+512-NER, remove_all_but_named_entities_first_half, augmented_training, augmented_eval
512+512+512-NER, remove_all_but_named_entities_first_third, two_thirds_training, last_third_eval
1024+0+512-NER, remove_all_but_named_entities_first_two_thirds, augmented_training, augmented_eval
512+0+512-FW, remove_all_but_function_words_first_half, augmented_training, augmented_eval
512+512+512-FW, remove_all_but_function_words_first_third, two_thirds_training, last_third_eval
1024+0+512-FW, remove_all_but_function_words_first_two_thirds, augmented_training, augmented_eval
512+0+512-SWS, shuffle_within_sentences_first_half, augmented_training, augmented_eval
512+512+512-SWS, shuffle_within_sentences_first_third, two_thirds_training, last_third_eval
1024+0+512-SWS, shuffle_within_sentences_first_two_thirds, augmented_training, augmented_eval
512+0+512-LPMI, shuffle_within_sentences_low_pmi_first_half, augmented_training, augmented_eval
512+512+512-LPMI, shuffle_within_sentences_low_pmi_first_third, two_thirds_training, last_third_eval
1024+0+512-LMPI, shuffle_within_sentences_low_pmi_first_two_thirds, augmented_training, augmented_eval
512+0+512-HPMI, shuffle_within_sentences_high_pmi_first_half, augmented_training, augmented_eval
